City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
Busselton,100,AU,1584113103,43,-33.65,115.33,69.01,19.6
Cape Town,0,ZA,1584113402,53,-33.93,18.42,75.99,14.99
Hilo,1,US,1584113198,82,19.73,-155.09,68.0,3.36
Husavik,75,IS,1584113495,85,66.04,-17.34,21.2,9.17
Kokopo,70,PG,1584113067,78,-4.35,152.26,82.67,18.52
Thompson,90,CA,1584113217,70,55.74,-97.86,-2.2,13.87
Rikitea,45,PF,1584113100,77,-23.12,-134.97,75.83,14.76
San Cristobal,75,VE,1584112881,78,7.77,-72.22,75.2,6.93
Mar del Plata,0,AR,1584112938,61,-38.0,-57.56,79.0,11.41
Ushuaia,75,AR,1584113039,76,-54.8,-68.3,50.0,5.82
Hobart,9,AU,1584112806,57,-42.88,147.33,48.2,10.29
Vestmannaeyjar,75,IS,1584113596,82,63.44,-20.27,32.0,13.87
Balaipungut,22,ID,1584113597,78,1.05,101.28,76.55,1.21
Kosmynino,90,RU,1584113597,93,57.58,40.76,37.4,17.9
Butaritari,70,KI,1584113187,74,3.07,172.79,82.67,8.05
Mossamedes,20,AO,1584113087,70,-15.2,12.15,84.2,11.41
Hailun,100,CN,1584113423,87,47.45,126.93,15.17,6.33
Atambua,55,ID,1584113597,87,-9.11,124.89,73.49,4.94
Mataura,2,NZ,1584113597,98,-46.19,168.86,43.25,2.1
Razdolinsk,100,RU,1584113497,94,58.42,94.67,31.01,10.71
Chokurdakh,100,RU,1584113098,98,70.63,147.92,-24.79,7.09
Rockhampton,0,AU,1584113498,68,-23.38,150.5,71.6,5.82
Cherskiy,100,RU,1584113225,95,68.75,161.3,-12.01,15.05
Albany,90,US,1584113421,87,42.6,-73.97,53.01,19.46
Talā,56,EG,1584113498,71,30.68,30.94,61.79,15.48
Arraial do Cabo,40,BR,1584113012,70,-22.97,-42.03,84.2,12.75
Hermanus,0,ZA,1584113102,73,-34.42,19.23,75.99,5.01
Bredasdorp,44,ZA,1584113498,46,-34.53,20.04,73.4,18.34
Paka,35,MY,1584113499,88,4.64,103.44,82.4,2.24
Abu Kamal,100,SY,1584113499,61,34.45,40.92,61.61,16.71
Harper,87,LR,1584113209,79,4.38,-7.72,84.83,5.64
Xaxim,0,BR,1584113499,46,-26.96,-52.53,98.01,4.7
Nanortalik,100,GL,1584113206,76,60.14,-45.24,23.09,13.67
Gizo Government Station,50,SB,1584113600,87,-8.1,156.84,77.45,11.48
Tamandaré,34,BR,1584113500,69,-8.76,-35.1,82.13,10.33
Mbini,100,GQ,1584113500,74,1.57,9.61,84.29,13.2
Tasiilaq,75,GL,1584113096,52,65.61,-37.64,15.8,11.41
Puerto Ayora,20,EC,1584113204,83,-0.74,-90.35,81.0,10.29
George Town,20,MY,1584113501,74,5.41,100.34,86.0,4.7
Khatanga,6,RU,1584113002,69,71.97,102.5,-11.47,16.24
Ugoofaaru,15,MV,1584113501,73,5.67,73.0,84.11,13.85
Saskylakh,87,RU,1584113104,99,71.92,114.08,-25.69,3.36
Jamestown,90,US,1584113099,64,42.1,-79.24,42.8,19.46
Port Alfred,0,ZA,1584113602,85,-33.59,26.89,73.99,12.88
Lüderitz,0,NA,1584113219,57,-26.65,15.16,77.0,23.04
